SubQuestion,QuestionTitle,AlternateText,,
Q10_1,Please indicate how much each of the following statements motivated you to volunteer with the [QID3-ChoiceGroup-SelectedChoices] in 2022: - I care about my local watershed and wanted to help protect it,,,
Q10_2,Please indicate how much each of the following statements motivated you to volunteer with the [QID3-ChoiceGroup-SelectedChoices] in 2022: - I like learning about science and nature,,,
Q10_3,Please indicate how much each of the following statements motivated you to volunteer with the [QID3-ChoiceGroup-SelectedChoices] in 2022: - It was an opportunity to be in nature,,,
Q10_4,Please indicate how much each of the following statements motivated you to volunteer with the [QID3-ChoiceGroup-SelectedChoices] in 2022: - I like volunteering,,,
Q10_5,Please indicate how much each of the following statements motivated you to volunteer with the [QID3-ChoiceGroup-SelectedChoices] in 2022: - I wanted to learn about water quality,,,
Q10_6,"Please indicate how much each of the following statements motivated you to volunteer with the [QID3-ChoiceGroup-SelectedChoices] in 2022: - I was asked to volunteer by a friend, family member, teacher, or colleague",,,
Q10_7,Please indicate how much each of the following statements motivated you to volunteer with the [QID3-ChoiceGroup-SelectedChoices] in 2022: - I like connecting with people that I know (seeing familiar faces),,,
Q10_8,Please indicate how much each of the following statements motivated you to volunteer with the [QID3-ChoiceGroup-SelectedChoices] in 2022: - It was an opportunity to meet new people,,,
Q10_9,"Please indicate how much each of the following statements motivated you to volunteer with the [QID3-ChoiceGroup-SelectedChoices] in 2022: - I volunteered with my group, club, church, etc.",,,
Q10_10,Please indicate how much each of the following statements motivated you to volunteer with the [QID3-ChoiceGroup-SelectedChoices] in 2022: - My employer supported volunteering with  the,,,
Q10_11,Please indicate how much each of the following statements motivated you to volunteer with the [QID3-ChoiceGroup-SelectedChoices] in 2022: - Water monitoring is connected to my paid work,,,
Q10_12,Please indicate how much each of the following statements motivated you to volunteer with the [QID3-ChoiceGroup-SelectedChoices] in 2022: - I received class credit or extra credit for volunteering,,,
Q10_13,Please indicate how much each of the following statements motivated you to volunteer with the [QID3-ChoiceGroup-SelectedChoices] in 2022: - I needed community service hours,,,
Q10_14,Please indicate how much each of the following statements motivated you to volunteer with the [QID3-ChoiceGroup-SelectedChoices] in 2022: - I wanted to help the with their mission,,,
Q12_1,How much do you disagree or agree with the following statements about the training(s) you had with the [QID3-ChoiceGroup-SelectedChoices] in 2022? - Data collection methods were clearly conveyed,,,
Q12_2,How much do you disagree or agree with the following statements about the training(s) you had with the [QID3-ChoiceGroup-SelectedChoices] in 2022? - The trainers delivered content effectively,,,
Q12_3,How much do you disagree or agree with the following statements about the training(s) you had with the [QID3-ChoiceGroup-SelectedChoices] in 2022? - Enough time was allotted to learn water monitoring methods,,,
Q12_4,How much do you disagree or agree with the following statements about the training(s) you had with the [QID3-ChoiceGroup-SelectedChoices] in 2022? - I learned why water monitoring methods were useful,,,
Q12_5,How much do you disagree or agree with the following statements about the training(s) you had with the [QID3-ChoiceGroup-SelectedChoices] in 2022? - I learned which water monitoring methods are appropriate in my watershed,,,
Q12_7,How much do you disagree or agree with the following statements about the training(s) you had with the [QID3-ChoiceGroup-SelectedChoices] in 2022? - My ability to perform water quality monitoring methods improved,,,
Q12_8,How much do you disagree or agree with the following statements about the training(s) you had with the [QID3-ChoiceGroup-SelectedChoices] in 2022? - My ability to follow my program's monitoring protocols improved,,,
Q12_9,How much do you disagree or agree with the following statements about the training(s) you had with the [QID3-ChoiceGroup-SelectedChoices] in 2022? - My knowledge of the watershed increased,,,
Q12_10,How much do you disagree or agree with the following statements about the training(s) you had with the [QID3-ChoiceGroup-SelectedChoices] in 2022? - The location of the training was conducive to learning,,,
Q17_1,Please indicate how much you disagree or agree with following broad statements about scientists: - Scientists provide accurate information to the public,,,
Q17_2,Please indicate how much you disagree or agree with following broad statements about scientists: - Local scientists act in the best interest of the public,,,
Q17_3,Please indicate how much you disagree or agree with following broad statements about scientists: - Scientists admit their mistakes and take responsibility for them,,,
Q17_4,Please indicate how much you disagree or agree with following broad statements about scientists: - Misconduct by scientists is a common problem,,,
Q17_5,Please indicate how much you disagree or agree with following broad statements about scientists: - Misconduct in scientific research is typically an isolated incident,,,
Q17_6,Please indicate how much you disagree or agree with following broad statements about scientists: - Scientists act in the best interest of the public,,,
Q17_7,Please indicate how much you disagree or agree with following broad statements about scientists: - Misconduct by local scientists is a common problem,,,
